CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f0298453745f   productor           30.44%    415.1MiB / 3.823GiB   10.60%    3.07kB / 823B     2.22MB / 0B       2
e51d2676a24c   cliente_atm         0.03%     23.61MiB / 3.823GiB   0.60%     5.87kB / 3.06kB   5.65MB / 0B       1
8b029feb43c6   sectorizador        0.00%     23.24MiB / 3.823GiB   0.59%     18.6kB / 25.2kB   5.95MB / 0B       4
96cc78a6160c   consumidor_redis4   10.41%    18.86MiB / 3.823GiB   0.48%     21.5kB / 21.2kB   0B / 0B           2
e1cfb64403b9   consumidor_mongo3   13.72%    29.42MiB / 3.823GiB   0.75%     22kB / 20.2kB     623kB / 0B        8
76eb8623dfaf   cliente_historico   0.34%     25.61MiB / 3.823GiB   0.65%     12.6kB / 4.7kB    6.14MB / 0B       4
06a48e8b6ffd   consumidor_mongo2   14.80%    29.43MiB / 3.823GiB   0.75%     20.2kB / 18.5kB   0B / 0B           8
93293ebba40a   consumidor_redis2   20.63%    18.85MiB / 3.823GiB   0.48%     20.7kB / 23.2kB   610kB / 0B        2
3de1edace4a4   consumidor_redis3   5.92%     21.41MiB / 3.823GiB   0.55%     19.9kB / 20.6kB   0B / 0B           8
f6c6dc9972aa   consumidor_mongo1   11.78%    29.42MiB / 3.823GiB   0.75%     21.4kB / 18.5kB   2.95MB / 0B       8
09d2e9763551   consumidor_redis1   15.80%    18.84MiB / 3.823GiB   0.48%     19.5kB / 20.3kB   3.53MB / 0B       2
796aaa473809   consumidor_mongo4   12.20%    29.42MiB / 3.823GiB   0.75%     21.4kB / 19.1kB   3.01MB / 0B       8
9e6d2bc85166   consumidor_redis5   5.41%     18.84MiB / 3.823GiB   0.48%     17.9kB / 16.3kB   0B / 0B           2
77d9cf1a7fc4   consumidor_redis6   13.28%    18.86MiB / 3.823GiB   0.48%     18.8kB / 17.4kB   0B / 0B           2
9831c1646d9a   kafka_ui            40.21%    62.45MiB / 3.823GiB   1.60%     3.55kB / 126B     7.29MB / 49.2kB   21
b6fb06b499b0   consumidor_mongo6   16.88%    29.43MiB / 3.823GiB   0.75%     21.3kB / 18.2kB   328kB / 0B        8
ac257e676ed0   consumidor_mongo5   12.31%    29.43MiB / 3.823GiB   0.75%     21kB / 18.7kB     598kB / 0B        8
b563bdb719bf   mongodb             9.56%     90.01MiB / 3.823GiB   2.30%     25.7kB / 29.5kB   254kB / 0B        51
