CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           4.36%     210.5MiB / 3.823GiB   5.38%     1.88kB / 781B     0B / 0B      2
40a7d96ff35d   cliente_historico   0.15%     25.61MiB / 3.823GiB   0.65%     7.36kB / 3.67kB   0B / 0B      4
886b94cdcddd   consumidor_redis1   0.36%     18.91MiB / 3.823GiB   0.48%     20kB / 25.9kB     0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   0.46%     29.48MiB / 3.823GiB   0.75%     23.8kB / 27.3kB   0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     23.23MiB / 3.823GiB   0.59%     8.91kB / 12kB     0B / 0B      4
c46f710821e4   cliente_atm         0.02%     23.58MiB / 3.823GiB   0.60%     3.81kB / 3.12kB   0B / 0B      1
cd6bfe45793d   kafka_ui            302.44%   222.5MiB / 3.823GiB   5.68%     1.66kB / 264B     0B / 152kB   31
0802920a6c28   redis               0.74%     8.316MiB / 3.823GiB   0.21%     17.7kB / 8.63kB   0B / 0B      6
f29aad2c7381   mongodb             6.95%     78.88MiB / 3.823GiB   2.02%     9.53kB / 9.91kB   0B / 0B      36
f790aa9a62cf   kafka               152.30%   374.4MiB / 3.823GiB   9.57%     52.4kB / 36.6kB   0B / 238kB   112
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           0.45%     210.5MiB / 3.823GiB   5.38%     1.92kB / 781B     0B / 0B      2
40a7d96ff35d   cliente_historico   0.09%     25.61MiB / 3.823GiB   0.65%     8.16kB / 3.94kB   0B / 0B      4
886b94cdcddd   consumidor_redis1   6.71%     18.93MiB / 3.823GiB   0.48%     21.9kB / 27.6kB   0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   6.74%     29.49MiB / 3.823GiB   0.75%     26.5kB / 29.4kB   0B / 0B      8
48e73dd4ab5d   sectorizador        0.00%     23.23MiB / 3.823GiB   0.59%     8.95kB / 12kB     0B / 0B      4
c46f710821e4   cliente_atm         0.02%     23.58MiB / 3.823GiB   0.60%     5.18kB / 5.37kB   0B / 0B      1
cd6bfe45793d   kafka_ui            156.54%   237.3MiB / 3.823GiB   6.06%     6.38kB / 1.69kB   0B / 152kB   35
0802920a6c28   redis               1.31%     8.316MiB / 3.823GiB   0.21%     19kB / 9.4kB      0B / 0B      6
f29aad2c7381   mongodb             0.89%     79.34MiB / 3.823GiB   2.03%     10.1kB / 11.4kB   0B / 0B      36
f790aa9a62cf   kafka               323.18%   486.9MiB / 3.823GiB   12.44%    56.7kB / 41.3kB   0B / 238kB   168
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
860517acb542   productor           0.33%     210.5MiB / 3.823GiB   5.38%     1.92kB / 781B     0B / 0B      2
40a7d96ff35d   cliente_historico   0.06%     25.61MiB / 3.823GiB   0.65%     8.16kB / 3.94kB   0B / 0B      4
886b94cdcddd   consumidor_redis1   6.21%     18.93MiB / 3.823GiB   0.48%     24kB / 29.5kB     0B / 0B      2
ed31fdfa6e8f   consumidor_mongo1   5.37%     29.49MiB / 3.823GiB   0.75%     28.7kB / 31.2kB   0B / 0B      8
