CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           1.41%     210.5MiB / 3.823GiB   5.38%     1.98kB / 823B     2.32MB / 0B   2
cced7653085d   cliente_historico   0.08%     25.62MiB / 3.823GiB   0.65%     7.74kB / 3.67kB   6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.02%     23.6MiB / 3.823GiB    0.60%     4.08kB / 3.12kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   0.93%     29.5MiB / 3.823GiB    0.75%     25.5kB / 29.9kB   4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     9.46kB / 12kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   0.94%     18.91MiB / 3.823GiB   0.48%     21.7kB / 30.4kB   1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   1.33%     29.5MiB / 3.823GiB    0.75%     25.6kB / 29.9kB   3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   1.09%     18.91MiB / 3.823GiB   0.48%     21.7kB / 29.9kB   2.75MB / 0B   2
9f5359063416   kafka_ui            193.21%   181.1MiB / 3.823GiB   4.63%     1.88kB / 126B     0B / 49.2kB   23
23ba0c1227d1   mongodb             4.69%     74.3MiB / 3.823GiB    1.90%     12.4kB / 14kB     0B / 0B       39
2410c119e440   redis               1.15%     8.312MiB / 3.823GiB   0.21%     18.3kB / 9.24kB   73.7kB / 0B   6
418757c50144   kafka               204.68%   391.2MiB / 3.823GiB   9.99%     115kB / 79.1kB    0B / 238kB    112
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.60%     210.5MiB / 3.823GiB   5.38%     1.98kB / 823B     2.32MB / 0B   2
cced7653085d   cliente_historico   0.10%     25.62MiB / 3.823GiB   0.65%     8.5kB / 3.94kB    6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.02%     23.6MiB / 3.823GiB    0.60%     5.48kB / 5.43kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   1.23%     29.5MiB / 3.823GiB    0.75%     27.1kB / 31.1kB   4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     9.46kB / 12kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   3.97%     18.91MiB / 3.823GiB   0.48%     23.3kB / 31.6kB   1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   14.13%    29.5MiB / 3.823GiB    0.75%     27.1kB / 31.1kB   3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   0.41%     18.91MiB / 3.823GiB   0.48%     23.3kB / 31.3kB   2.75MB / 0B   2
9f5359063416   kafka_ui            218.22%   184.5MiB / 3.823GiB   4.71%     1.88kB / 126B     0B / 49.2kB   23
23ba0c1227d1   mongodb             3.05%     74.3MiB / 3.823GiB    1.90%     12.7kB / 14.8kB   0B / 0B       39
2410c119e440   redis               3.84%     8.309MiB / 3.823GiB   0.21%     19.7kB / 10kB     73.7kB / 0B   6
418757c50144   kafka               296.88%   497.1MiB / 3.823GiB   12.70%    120kB / 85.5kB    0B / 238kB    165
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.47%     210.5MiB / 3.823GiB   5.38%     1.98kB / 823B     2.32MB / 0B   2
cced7653085d   cliente_historico   0.11%     25.62MiB / 3.823GiB   0.65%     8.5kB / 3.94kB    6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.03%     23.6MiB / 3.823GiB    0.60%     6.74kB / 7.68kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   3.42%     29.52MiB / 3.823GiB   0.75%     30.2kB / 33.7kB   4.11MB / 0B   8
7bd861cf08c1   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     10.4kB / 13.6kB   6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   10.86%    18.92MiB / 3.823GiB   0.48%     25.5kB / 33.9kB   1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   9.22%     29.52MiB / 3.823GiB   0.75%     29.8kB / 33.4kB   3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   1.83%     18.93MiB / 3.823GiB   0.48%     25.6kB / 33.8kB   2.75MB / 0B   2
9f5359063416   kafka_ui            194.21%   185.1MiB / 3.823GiB   4.73%     1.88kB / 126B     0B / 65.5kB   24
23ba0c1227d1   mongodb             1.49%     74.3MiB / 3.823GiB    1.90%     13.2kB / 16.3kB   0B / 0B       39
2410c119e440   redis               17.70%    8.309MiB / 3.823GiB   0.21%     22.6kB / 11.7kB   73.7kB / 0B   6
418757c50144   kafka               259.09%   511.6MiB / 3.823GiB   13.07%    130kB / 94.7kB    0B / 238kB    152
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
