CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
576d73694905   productor           1.59%     607.7MiB / 3.823GiB   15.53%    2.29kB / 823B     0B / 0B          2
86e5b18b605d   consumidor_mongo1   9.81%     29.46MiB / 3.823GiB   0.75%     24.8kB / 26.6kB   0B / 0B          8
1b21dbf752e2   consumidor_mongo3   12.17%    29.47MiB / 3.823GiB   0.75%     27.2kB / 28.9kB   0B / 0B          8
18b601d476db   cliente_historico   0.25%     25.62MiB / 3.823GiB   0.65%     9.34kB / 3.94kB   0B / 0B          4
b426a63bf272   consumidor_mongo2   10.07%    29.46MiB / 3.823GiB   0.75%     24.6kB / 25.8kB   0B / 0B          8
b5d110b43478   consumidor_redis1   0.57%     18.9MiB / 3.823GiB    0.48%     23.9kB / 31kB     0B / 0B          2
7056de128021   consumidor_mongo4   12.01%    29.47MiB / 3.823GiB   0.75%     26.1kB / 28.6kB   0B / 0B          8
16dcbc09ad82   cliente_atm         0.02%     23.58MiB / 3.823GiB   0.60%     4.99kB / 3.12kB   0B / 0B          1
ff5686d65dba   consumidor_redis3   2.83%     18.89MiB / 3.823GiB   0.48%     22.2kB / 28kB     0B / 0B          2
ef37e428e834   consumidor_redis2   0.52%     18.91MiB / 3.823GiB   0.48%     24kB / 29.1kB     0B / 0B          2
bf51a6f6f6dc   sectorizador        0.00%     23.24MiB / 3.823GiB   0.59%     10.2kB / 12kB     0B / 0B          4
fe7132683f7a   consumidor_redis4   7.64%     18.9MiB / 3.823GiB    0.48%     22.1kB / 28.4kB   0B / 0B          2
ae4604f656f1   kafka_ui            109.95%   118.9MiB / 3.823GiB   3.04%     2.55kB / 126B     492kB / 49.2kB   23
2a9eaf369eb1   redis               3.11%     8.324MiB / 3.823GiB   0.21%     20.8kB / 9.99kB   0B / 0B          6
f3357cf3b0c3   mongodb             87.14%    153.2MiB / 3.823GiB   3.91%     20.1kB / 23.1kB   455kB / 0B       61
63164fef332b   kafka               134.56%   392.7MiB / 3.823GiB   10.03%    212kB / 153kB     111kB / 238kB    111
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
576d73694905   productor           0.91%     607.7MiB / 3.823GiB   15.53%    2.29kB / 823B     0B / 0B          2
86e5b18b605d   consumidor_mongo1   4.33%     30.21MiB / 3.823GiB   0.77%     27kB / 28.3kB     0B / 0B          14
1b21dbf752e2   consumidor_mongo3   5.06%     30.52MiB / 3.823GiB   0.78%     29.2kB / 30.6kB   0B / 0B          13
