CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
40ee97484aba   productor           102.95%   584.8MiB / 3.823GiB   14.94%    2.42kB / 823B     2.43MB / 0B       2
df9b3263d5c5   consumidor_redis2   83.24%    21.19MiB / 3.823GiB   0.54%     21.6kB / 26.8kB   4.46MB / 0B       2
6e85ac607f95   consumidor_mongo3   47.43%    31.83MiB / 3.823GiB   0.81%     24.2kB / 24.5kB   4.35MB / 0B       14
52327ce982a8   consumidor_redis4   26.50%    20.04MiB / 3.823GiB   0.51%     20.8kB / 25.3kB   549kB / 0B        8
986f9a8d571d   cliente_atm         0.03%     28.04MiB / 3.823GiB   0.72%     5.03kB / 3.26kB   11MB / 0B         1
c7e7fefd2ff5   consumidor_redis1   14.79%    19.12MiB / 3.823GiB   0.49%     20.3kB / 23.2kB   1.61MB / 0B       2
419d1a66ad25   sectorizador        0.00%     40.52MiB / 3.823GiB   1.04%     10.3kB / 12.1kB   23.9MB / 0B       4
287dc782ef1b   consumidor_redis3   0.70%     18.87MiB / 3.823GiB   0.48%     20.2kB / 24.2kB   36.9kB / 0B       2
b46a6a7a11f6   consumidor_mongo2   22.35%    33.2MiB / 3.823GiB    0.85%     24.3kB / 24.6kB   5.43MB / 0B       8
5efedfa0f876   consumidor_mongo4   6.92%     31.89MiB / 3.823GiB   0.81%     23.7kB / 23.1kB   4.49MB / 0B       8
82a1fb9fe702   consumidor_mongo1   10.34%    32.77MiB / 3.823GiB   0.84%     25.6kB / 26.6kB   5.52MB / 0B       8
753b27d990ef   cliente_historico   3.42%     27.16MiB / 3.823GiB   0.69%     9.34kB / 3.94kB   7.18MB / 0B       4
530f4ddb2be4   kafka_ui            107.33%   96.08MiB / 3.823GiB   2.45%     2.34kB / 126B     47.9MB / 49.2kB   20
a904fd02bd23   mongodb             92.31%    234.9MiB / 3.823GiB   6.00%     20kB / 23.2kB     150MB / 0B        65
ceb0d2ea3b2c   redis               3.48%     23.23MiB / 3.823GiB   0.59%     21kB / 10.2kB     16.5MB / 0B       6
7ee7bfcd070a   kafka               153.22%   432.7MiB / 3.823GiB   11.05%    187kB / 143kB     70.1MB / 238kB    110
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
40ee97484aba   productor           105.87%   662.2MiB / 3.823GiB   16.92%    2.42kB / 823B     2.43MB / 0B      2
df9b3263d5c5   consumidor_redis2   67.61%    21.34MiB / 3.823GiB   0.55%     25kB / 32kB       4.46MB / 0B      3
6e85ac607f95   consumidor_mongo3   12.77%    31.76MiB / 3.823GiB   0.81%     28.2kB / 31kB     4.35MB / 0B      8
52327ce982a8   consumidor_redis4   9.09%     18.93MiB / 3.823GiB   0.48%     24.2kB / 30.5kB   549kB / 0B       2
